train_loss,val_loss,MSE,R2,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8267251807451248,0.9394715428352356,1374.7908935546875,-8.660593627584,1729702982,checkpoint_000000,True,False,1,9d170_00660,2024-10-23_19-03-03,60.493194341659546,60.493194341659546,2370971,node108,10.5.3.178,60.493194341659546,1
0.7501344239711761,0.9024276733398438,1321.3583984375,-8.190271950706931,1729703039,checkpoint_000001,True,False,2,9d170_00660,2024-10-23_19-03-59,56.33727240562439,116.83046674728394,2370971,node108,10.5.3.178,116.83046674728394,2
0.6783252394199372,0.8613103032112122,1269.54931640625,-7.725596350352793,1729703093,checkpoint_000002,True,False,3,9d170_00660,2024-10-23_19-04-53,53.7623233795166,170.59279012680054,2370971,node108,10.5.3.178,170.59279012680054,3
0.6458864325284958,0.8233378529548645,1223.3304443359375,-7.343540294436918,1729703142,checkpoint_000003,True,False,4,9d170_00660,2024-10-23_19-05-42,49.5042769908905,220.09706711769104,2370971,node108,10.5.3.178,220.09706711769104,4
0.6354804927110672,0.7894580364227295,1179.751220703125,-7.002908201335345,1729703180,checkpoint_000004,True,False,5,9d170_00660,2024-10-23_19-06-20,37.59542727470398,257.692494392395,2370971,node108,10.5.3.178,257.692494392395,5
0.6121113789081574,0.7757336497306824,1156.2662353515625,-6.760156051087507,1729703220,checkpoint_000005,True,False,6,9d170_00660,2024-10-23_19-07-00,39.79112100601196,297.483615398407,2370971,node108,10.5.3.178,297.483615398407,6
0.6409880930185318,0.7365504503250122,1099.78125,-6.343360438942891,1729703259,checkpoint_000006,True,False,7,9d170_00660,2024-10-23_19-07-39,39.73614430427551,337.2197597026825,2370971,node108,10.5.3.178,337.2197597026825,7
0.6460806334018707,0.7147766351699829,1058.02734375,-5.97948900524949,1729703305,checkpoint_000007,True,False,8,9d170_00660,2024-10-23_19-08-26,46.05786418914795,383.27762389183044,2370971,node108,10.5.3.178,383.27762389183044,8
0.6563104099035263,0.6928408741950989,1028.9183349609375,-5.703297715320819,1729703356,checkpoint_000008,True,False,9,9d170_00660,2024-10-23_19-09-16,50.85740542411804,434.1350293159485,2370971,node108,10.5.3.178,434.1350293159485,9
0.6643654066324234,0.6793662905693054,996.5930786132812,-5.4670457713508265,1729703408,checkpoint_000009,True,False,10,9d170_00660,2024-10-23_19-10-08,51.38966369628906,485.52469301223755,2370971,node108,10.5.3.178,485.52469301223755,10
0.676533342897892,0.6601393222808838,957.46533203125,-5.183661230712138,1729703456,checkpoint_000010,True,False,11,9d170_00660,2024-10-23_19-10-56,47.900514125823975,533.4252071380615,2370971,node108,10.5.3.178,533.4252071380615,11
0.6828953650593758,0.6592896580696106,941.5225830078125,-5.130854856361299,1729703512,checkpoint_000011,True,False,12,9d170_00660,2024-10-23_19-11-52,56.5605366230011,589.9857437610626,2370971,node108,10.5.3.178,589.9857437610626,12
0.6792199701070786,0.6274012923240662,888.7550659179688,-4.614151496670764,1729703573,checkpoint_000012,True,False,13,9d170_00660,2024-10-23_19-12-53,60.33682084083557,650.3225646018982,2370971,node108,10.5.3.178,650.3225646018982,13
0.68837991386652,0.6218575835227966,873.2647094726562,-4.5465067106726025,1729703633,checkpoint_000013,True,False,14,9d170_00660,2024-10-23_19-13-53,59.828378677368164,710.1509432792664,2370971,node108,10.5.3.178,710.1509432792664,14
0.6763260811567307,0.6284504532814026,875.7481079101562,-4.500634041600367,1729703683,checkpoint_000014,True,False,15,9d170_00660,2024-10-23_19-14-43,50.1388258934021,760.2897691726685,2370971,node108,10.5.3.178,760.2897691726685,15
0.6870918527245522,0.6156283617019653,840.40478515625,-4.3741956385123935,1729703732,checkpoint_000015,True,False,16,9d170_00660,2024-10-23_19-15-32,49.355963706970215,809.6457328796387,2370971,node108,10.5.3.178,809.6457328796387,16
0.694156922698021,0.6013524532318115,810.7767944335938,-4.0373100530635755,1729703785,checkpoint_000016,True,False,17,9d170_00660,2024-10-23_19-16-25,53.06081557273865,862.7065484523773,2370971,node108,10.5.3.178,862.7065484523773,17
0.6934233444929123,0.6294799447059631,878.3915405273438,-4.573507529124184,1729703838,checkpoint_000017,True,False,18,9d170_00660,2024-10-23_19-17-18,53.1277072429657,915.834255695343,2370971,node108,10.5.3.178,915.834255695343,18
0.6937165930867195,0.6009675860404968,806.6666870117188,-4.282695581647507,1729703882,checkpoint_000018,True,False,19,9d170_00660,2024-10-23_19-18-03,44.10101079940796,959.935266494751,2370971,node108,10.5.3.178,959.935266494751,19
0.6983278262615203,0.5883530378341675,774.368896484375,-3.99533033230365,1729703923,checkpoint_000019,True,False,20,9d170_00660,2024-10-23_19-18-43,40.10534906387329,1000.0406155586243,2370971,node108,10.5.3.178,1000.0406155586243,20
0.6862744805216789,0.583156943321228,784.1055908203125,-3.936080446456031,1729703960,checkpoint_000020,True,False,21,9d170_00660,2024-10-23_19-19-20,37.77920389175415,1037.8198194503784,2370971,node108,10.5.3.178,1037.8198194503784,21
0.6711998048424721,0.5750679969787598,743.6583862304688,-3.7949722230074605,1729703999,checkpoint_000021,True,False,22,9d170_00660,2024-10-23_19-19-59,38.62665820121765,1076.446477651596,2370971,node108,10.5.3.178,1076.446477651596,22
0.6639188706874848,0.5736256837844849,742.4955444335938,-3.7106302350967413,1729704041,checkpoint_000022,True,False,23,9d170_00660,2024-10-23_19-20-41,41.95288872718811,1118.3993663787842,2370971,node108,10.5.3.178,1118.3993663787842,23
