Export;EXP-2023-01 (20230707 10:27);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10136;NL10137;NL10227;NL10230;NL10235;NL10236;NL10237;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10441;NL10442;NL10444;NL10445;NL10448;NL10520;NL10537;NL10538;NL10544;NL10547;NL10548;NL10549;NL10620;NL10631;NL10633;NL10636;NL10639;NL10641;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704
NO2;uur;µg/m³;20100101 01:00;20100101 02:00;31.5;28.4;29.3;22.4;18.5;12.6;14.8;19.6;23.2;20.6;33.6;11.73;12.21;14.15;22.62;17;8.49;11.9;7.66;12.27;16.26;9.29;8.85;16.33;15.84;;8.91;23.13;41.41;19.58;15.44;5.43;12.97;;9.33;31.79;16.38;8.72;24.35;5.02;17.95;10.18;7.6;5.38;10.39;3.44;6.43;11.18;10.26;6.45;7.91;5.22;19.35;16.13;3.55;4.12;5.25;4.48;8.07;33.93;5.93;41;12;48;18;27;35;18;20;5;17;26;8;20;16;;12;17;10
NO2;uur;µg/m³;20100101 02:00;20100101 03:00;27.7;26.8;26.7;17.6;14.2;9.2;14.3;17.8;21.6;20.7;21.6;11.79;11.09;11.82;17.07;13.72;8.05;7.71;7.66;7.48;7.47;6.58;8.4;11.96;10.93;;9.17;16.36;30.94;16.09;11.24;5.06;13.47;;6.41;26.24;13.91;9.19;20.11;6.06;16.51;8.58;6.11;5.11;7.02;3.34;4.71;4.25;7.72;4.65;7.85;4.07;11.63;11.71;3.4;5.82;6.6;7.42;6.23;26.74;4.54;33;10;37;15;23;28;15;16;6;11;18;5;15;8;;11;15;7
NO2;uur;µg/m³;20100101 03:00;20100101 04:00;21.4;18.8;19.4;16.9;14.4;7;13;16.6;19;28.4;14.6;10.15;10.28;10.9;13.88;12.46;6.71;6.24;6.74;5.23;5.93;5.67;5.66;12.34;8.41;;7.52;13.75;26.4;14.74;10.63;2.53;8.41;;5.49;24.2;13.66;9.28;17.97;5.62;16.65;12.25;5.61;7.09;5.24;5.33;6.25;3.61;6.95;10.22;6.88;3.96;11.34;7.9;4;6.83;6.13;6.88;6.98;20.06;2.78;30;8;26;14;21;28;;14;5;;24;5;13;7;;8;15;5
NO2;uur;µg/m³;20100101 04:00;20100101 05:00;18.8;17;14.1;19.1;19.9;7.3;13.3;20.4;17.4;30.8;16.3;9.72;9.7;9.02;13.4;13.18;5.91;5.04;5.84;3.36;5.15;4.29;4.7;12.72;6.9;;5.55;13.93;29.81;15.79;11;2.62;8.36;;5.18;24.68;17.98;5.82;15.3;4.41;15.72;9.38;6.4;8.19;6.78;5.24;6.22;5.54;7.08;9.68;7.61;4.04;12.28;7.03;4.95;6.08;5.36;6.04;3.51;18.57;3.07;25;8;31;14;22;31;13;14;5;10;36;6;11;10;;8;13;8
NO2;uur;µg/m³;20100101 05:00;20100101 06:00;;;;;;;;;;;;9.21;8.86;8.53;12.31;13.08;5.32;4.55;5.33;4.42;6.79;5.06;6.76;5.55;6.04;;4.65;14.73;19.14;14.74;10.38;3.93;10.28;;4.7;28.01;19.79;3.92;14.47;3.76;17.73;10.28;6.2;7.6;11.38;4.1;4.63;6.24;7.74;7.84;9.38;4.95;16.02;8.22;4.29;4.94;5.66;5.66;3.47;16.02;3.23;41;7;38;18;17;31;16;15;4;11;38;4;12;14;;7;8;7
NO2;uur;µg/m³;20100101 06:00;20100101 07:00;16.2;19.4;17.6;16.3;14.3;8.2;18.6;20.9;21.5;33.3;18.9;8.42;9.67;8.59;17.27;12.81;5.22;5.3;5.28;4.64;7.46;6.99;10.09;7.36;6.13;;5.63;12.93;11.81;17.12;17.47;5;11.9;;3.6;22.31;18.04;3.21;13.85;3.42;16.12;8.97;4.79;6.29;8.89;3.45;4.13;6.88;6.8;6.54;8.84;4.63;16.56;12;4.1;4.01;4.73;5.17;3.99;13.05;2.87;28;7;33;16;19;25;14;14;;15;;;12;;;7;14;7
NO2;uur;µg/m³;20100101 07:00;20100101 08:00;18.9;21.6;20.8;15.1;14.8;7.1;19.6;21.7;25.2;40.3;16.9;8.11;9.96;8.17;13.17;12.17;5.89;6.23;7.53;4.6;9.22;7.74;10.36;7.92;6.7;;8.78;14.1;11.96;15.9;23.1;6.34;12.52;;4.06;17.41;18.71;3.38;15.97;2.97;17.79;8.25;4.76;5.97;10.78;2.97;3.92;7.09;6.08;9.77;9.87;4.52;15.2;13.91;4.38;4.51;4.71;4.71;5.4;12.71;1.93;48;8;38;20;20;25;17;15;4;13;46;7;12;13;;7;12;8
NO2;uur;µg/m³;20100101 08:00;20100101 09:00;28.9;30.6;31.5;18.3;18.7;7.8;26.8;23.6;25.3;47;22.6;8.5;11.6;8.13;15.25;12.78;5.63;6.43;8.23;4.54;5.36;7.53;9.6;7.61;7.83;;9.13;14.6;14.46;16.88;21.86;5.99;15.37;;5.55;17.52;20.94;3.67;16.6;3.49;24.43;9.04;5.04;6.06;7.94;4.05;5.12;6.69;6.31;20;8.33;4.37;13.16;12.06;4.32;5.53;5.3;4.54;3.45;13.26;2.25;30;9;34;30;20;26;27;24;5;16;52;7;19;18;;8;11;8
NO2;uur;µg/m³;20100101 09:00;20100101 10:00;23;29.5;30.2;21;21.3;9.6;30.7;34.2;25.6;48.2;20.6;7.83;10.72;8.28;11.49;13.55;6.59;6.37;8.82;5.37;6.37;12.23;11.16;7.76;8.04;;12.63;16.17;12.26;22.9;26.56;8.28;15.26;;5.2;19.55;31.93;3.8;16.15;3.53;24.09;10.33;5.87;6.34;6.35;3.71;9.76;7.64;12.88;9.71;8.49;5.27;12.04;10.57;3.68;4.74;5.65;4.54;5.64;11.65;2.15;20;8;28;35;21;24;26;26;5;14;52;6;18;17;;8;11;7
NO2;uur;µg/m³;20100101 10:00;20100101 11:00;26.9;29;26.9;24.7;24.2;12.3;23.4;31.9;24.3;44.8;19;9.12;11.65;8.17;13.37;12.98;7.33;7.47;8.88;9.14;11.79;9.25;10.83;8.68;9.85;;11.95;15.47;9.23;24.01;20.06;12.35;13.68;;4.98;16.46;30.61;3.35;15.91;3.07;21.65;9.59;6.45;6.98;6.77;3.64;6.93;8.13;10.9;6.15;8.55;5.3;19.69;16.64;3.29;3.95;5.8;3.97;7.55;13.34;2.17;21;8;29;33;18;;21;22;4;12;42;7;16;17;;8;12;7
NO2;uur;µg/m³;20100101 11:00;20100101 12:00;20;27.6;23.6;22.8;21.9;12;21.6;29.2;22;30.7;15.4;9.13;12.65;7.61;14.81;10.57;7.48;8.02;8.31;10.34;10.09;13.88;12.57;8.17;11.64;;13.4;11.32;12.56;23.08;18.92;14.32;14.51;;4.45;18.09;26.94;3.19;23.73;2.89;22.77;9.74;6.76;6.55;8.6;3.56;7.61;8.24;11.38;3.65;8.44;5.26;19.34;13.68;3.12;3.85;6.99;3.49;3.78;14.08;2.91;14;8;33;;14;17;17;14;4;9;14;7;13;13;;7;15;6
NO2;uur;µg/m³;20100101 12:00;20100101 13:00;15.3;23.5;21;19.8;18.1;7.9;19.9;22.8;23.9;21.5;12;11.09;12.29;9.2;17.75;10.73;7.56;8.05;8.65;13.66;12.24;15.72;12.49;6.83;11.69;;19.21;10.48;12.17;19.29;18.31;11.26;12.05;;3.43;16.82;19.83;4.19;36.48;2.94;16.09;8.67;6.26;5.87;6.83;2.89;2.88;8.42;10.93;4.13;8.46;5.97;31.16;15.89;2.79;3.72;6.63;3.87;2.27;18.55;3.01;;8;44;15;14;21;18;15;4;8;12;7;11;17;;9;14;6
NO2;uur;µg/m³;20100101 13:00;20100101 14:00;13.5;19.4;17.6;15.6;13.7;6.4;14.8;20.5;19.2;19.4;11.8;11.71;12.61;9.71;22.82;14.09;7.78;7.85;8.15;14.6;14.86;22.83;11.77;5.79;11.8;;12.31;11.27;24.76;12.54;17.3;5.58;11.86;;3.39;20.8;17.16;4.32;46.73;2.59;16.65;8.56;6.97;5.31;5.69;2.77;2.7;9.06;12.11;4.01;8.32;6.14;27.91;17.35;3.16;4.02;2.51;2.98;2.94;21.95;3.96;17;11;52;16;16;25;17;17;5;7;21;6;12;11;;11;8;6
NO2;uur;µg/m³;20100101 14:00;20100101 15:00;14.5;19.6;17.6;17.3;12.1;7.4;12.4;20.4;21.1;18.8;14.4;12.36;12.55;11;24.71;15.07;7.64;9.16;7.18;16.1;20.84;16.7;11.11;4.12;12.11;;12.29;10.65;40.24;14.45;20.66;6.04;12.12;;2.84;27.93;17.63;5.21;57.06;2.39;20.03;10.51;8.29;5.78;5.86;7.37;4.9;9.84;13.71;4.44;8.49;6.41;48.78;19.47;2.59;4.48;2.84;4.04;4.62;21.36;3.14;26;11;64;21;15;24;20;20;6;8;27;6;13;17;;15;16;7
NO2;uur;µg/m³;20100101 15:00;20100101 16:00;17.4;26.3;22.7;26.5;17.3;7;19.9;28.1;30.5;30.7;19.7;12.1;12.65;11.18;22.46;15.66;8.9;10.18;6.87;17.97;28.3;11.54;13.99;5.98;12.49;;11.06;13.1;12.51;19.52;24.68;8.84;15.32;;3.94;28.08;25.92;6.65;59.39;2.02;32.79;13.39;12.32;7.14;7.13;2.82;6.79;11.67;23.09;4.3;9.75;6.72;45.66;20.32;2.76;6.3;4.37;5.07;2.63;28.78;2.4;38;15;72;32;21;44;30;30;11;11;14;8;16;20;;;25;9
NO2;uur;µg/m³;20100101 16:00;20100101 17:00;29.3;33.5;30.7;34;24.7;10.7;36.4;44.6;48;50.8;34.8;12.71;14.15;11.31;23.2;14.32;11.47;11.73;8.98;25.56;28.25;13.29;20.88;8.32;13.81;;12.99;28.19;13.67;26.28;48.8;11.3;21.65;;4.73;61.67;43.52;17.28;62.46;2.29;36.17;25.91;23.94;14.43;11.44;4.87;12.07;20.09;34.04;19.66;11.52;7.98;61.37;26.74;4.65;9.45;6.94;7.2;2.64;51.99;5.2;77;32;81;55;38;61;53;56;25;19;22;9;32;37;;24;18;11
NO2;uur;µg/m³;20100101 17:00;20100101 18:00;53.6;57.2;39.2;49.8;44.6;22.1;52.6;84.7;59.5;89.5;101.7;17.5;16.44;12.32;24.16;17.25;14.21;14.73;9.71;26.03;35.45;17.16;30.15;11.23;14.76;;12.59;34.38;15.56;42.21;65.93;15.18;31.43;;6.11;58.33;87.61;57.42;73.85;3;60.27;54.65;41.37;30.86;16.35;7.28;15.17;25.02;44.27;71.65;12.12;12.07;56.44;27.03;7.75;10.33;8.57;11.06;1.73;59.64;4.77;80;53;86;77;67;69;54;78;33;27;36;6;54;66;;39;13;23
NO2;uur;µg/m³;20100101 18:00;20100101 19:00;50.7;64.9;59.3;62;57.9;52.4;75.7;91.7;84.6;123;116.1;16;18.77;12.35;25.28;24.1;14.7;14.21;9.92;33.03;43.54;24.44;32.16;12.4;21.76;;18.2;34.44;39.31;55.69;64.85;39.17;44.98;;8.31;47.97;94.96;62.04;86.23;17.43;63.56;65.02;35.57;26.74;23.14;6.12;24.47;22.6;48.68;82.89;12.38;20.81;65.44;36.81;9.82;7.86;10.87;14.67;2.36;51.46;5.97;84;48;80;78;75;60;54;75;52;44;33;4;67;68;;61;15;32
NO2;uur;µg/m³;20100101 19:00;20100101 20:00;46.5;48.6;62.4;53.6;51.9;83.6;89.3;101.4;91;140.4;114.8;18.22;18.12;14.37;19.8;19.23;16.43;15.7;10.44;27.64;42.99;29.96;37.07;23.29;25.32;;12.08;36.29;41.83;52.89;71.34;64.07;64.7;;9.02;50.31;100.39;73.14;87.27;39.46;75.12;64.6;58.85;29.74;31.49;6.93;67.98;28.22;47.3;85.66;13.62;24.97;75.92;43.87;9.54;12.39;13.59;13.15;3.19;60.34;8.1;83;54;87;70;76;68;57;85;53;59;17;4;70;70;;70;27;48
NO2;uur;µg/m³;20100101 20:00;20100101 21:00;58.5;54.2;69.1;47.9;50.1;91.7;83.6;107.6;99.2;143.1;121.3;22.58;17.91;13.51;26.21;18.91;18.13;26.33;12.14;32;47.65;43.1;53.48;42.57;25.06;;19.14;32.34;49.8;53.53;86.44;65.59;74.26;;10.31;63.45;102.14;77.13;80.37;36.19;61.02;61.2;70.26;41.53;54.48;6.17;72.6;25.2;58.59;74.01;13.52;27.39;54.67;37.13;13.17;13.94;14.56;14.52;4.61;64.09;5.64;104;65;92;85;76;70;75;90;60;59;24;5;69;74;;67;28;39
