Export;EXP-2023-01 (20230707 08:36);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10136;NL10137;NL10227;NL10230;NL10235;NL10236;NL10237;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10442;NL10444;NL10445;NL10448;NL10520;NL10537;NL10538;NL10544;NL10547;NL10548;NL10549;NL10620;NL10631;NL10633;NL10636;NL10639;NL10641;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704
NO2;uur;µg/m³;20110101 01:00;20110101 02:00;49.2;47.5;53.1;53.9;53.1;52.4;57.6;52.6;56.7;43.6;20.7;56.07;54.95;;54.97;53.97;62.67;52.13;43.58;57.38;57.63;;49.73;51.26;53.76;59.22;34.93;33.71;42.75;62.68;47.17;49.15;48.8;13.65;50.67;61.5;37.78;28.45;;51.37;36.65;37.98;39.7;46.38;21.74;56.53;56.5;55.48;44.6;;54.8;57.02;52.24;47.5;39.41;5.01;6.93;5.13;6.08;32.47;21.8;113;38;38;44;40;72;46;52;44;13;30;19;26;10;20;16;17;18
NO2;uur;µg/m³;20110101 02:00;20110101 03:00;50.4;51.3;51.4;56;48.6;53;45.6;44;40.9;40.2;20.8;56.56;54.56;;53.67;52.93;58.49;51.84;39.94;54.94;54.19;;46.34;48.43;50.56;18.93;35.2;25.42;25.53;52.76;37.17;49.03;47;23.09;36.27;47.87;25.56;31.61;;30.98;48.33;38.21;37.38;46.35;24.25;43.15;49.65;53.19;45.92;;53.1;51.09;50.44;46.23;24.77;5.51;9.32;4.09;8.37;20.17;13.84;67;25;26;26;25;48;34;30;22;15;32;19;18;14;20;16;17;18
NO2;uur;µg/m³;20110101 03:00;20110101 04:00;37.3;50.6;46.5;50.9;33;53.6;30.5;30.6;39.5;35.3;20.7;57.09;55.48;;50.02;49.81;55.85;49.1;38.07;51.04;51.24;;42.37;47.57;47.68;4.43;39.11;15.58;19.27;34.35;32.05;30.24;45.49;13.46;32.82;35.99;26.84;25.05;;27.19;33.55;32.78;30.27;43.53;26.98;19.9;46.94;48.99;28.82;;51.53;45.69;48.3;45.66;25.32;11.72;11.47;4.74;13.04;22.67;13.76;75;27;25;26;24;42;35;28;16;14;32;16;18;12;20;23;15;20
NO2;uur;µg/m³;20110101 04:00;20110101 05:00;42.3;54.8;39.1;43.3;27.9;36.4;27.8;32.2;24.1;23.3;9.7;55.86;52.89;;47.78;47.79;50.44;45.58;40.37;47.56;47.28;;31.69;24.28;43.69;10.46;34.98;16.83;18.29;31.37;20.04;10.68;33.14;11.54;31.43;30.86;24.49;19.93;;22.88;22.58;21.9;23.44;31.64;20.29;9.45;40.62;41.68;20.66;;48.47;43.08;46.43;45.66;19.87;9.56;9.67;7.19;13.04;27.85;11.53;69;23;19;25;19;40;30;24;12;8;40;13;12;6;14;20;10;18
NO2;uur;µg/m³;20110101 05:00;20110101 06:00;37.9;56;34.3;40.7;26;31.9;23;28.7;22;25.4;6.7;53.49;51.09;;49.9;48.79;48.57;44.64;38.73;46.66;46.82;;16.48;8.6;42.42;11.95;14.68;10.33;16;25.71;16.49;9.36;20.93;10.24;26.92;26.53;20;19.17;;25.88;15.54;14.37;15.25;14.18;18.17;7.76;19.55;23.81;16.55;;46.11;38.8;47.52;44.72;18.05;10.66;8.27;8.64;9.54;28.86;9.21;90;19;23;21;24;47;29;34;12;11;44;13;16;8;17;11;12;16
NO2;uur;µg/m³;20110101 06:00;20110101 07:00;43.5;52.4;36.9;39.4;26;33;25.6;23.6;19.7;44.8;16.2;50.76;48.79;;48.7;47.78;48.75;43.87;26;45.38;46.25;;23.34;9.7;41.85;8.93;11.19;13.29;16.46;24.97;25.45;7.41;20.46;8.65;30.4;26.66;25.19;19.91;;25.93;14.01;14.75;18.27;13.02;18.71;7.24;21.22;20.43;16.02;;44.12;28.63;47.42;44.31;14.7;8;11.26;7.91;9.2;18.31;6.92;82;23;21;24;23;42;33;26;15;10;25;13;14;6;;31;11;13
NO2;uur;µg/m³;20110101 07:00;20110101 08:00;27.9;18.9;59.1;54;45.6;34.1;35.5;35.4;33.9;41.5;24.4;49.25;49.14;;47.15;46.05;50.15;35.16;16.29;44.72;46.54;;17.3;9.35;43.46;8.21;10.98;12.83;40.44;42.02;17.02;7.98;13.41;10.57;24.62;38.93;25.88;24.16;;22.79;15.32;19.11;17.63;12.91;17.35;6.83;25.43;27.56;15.89;;39.36;17.93;36.39;34.3;10.91;7.42;14.62;6.08;9.56;15.55;8.3;65;24;20;22;19;29;26;20;12;12;34;14;16;8;18;39;13;18
NO2;uur;µg/m³;20110101 08:00;20110101 09:00;30.9;31.5;50;48.9;47.9;30;40.8;39.7;38.5;48.3;22.6;49.34;47.28;;47.9;47.02;49.19;17.97;16.9;44.78;47.34;;19.21;8.87;44.23;12.73;13.33;19.91;27.25;41.27;29.51;9.8;11.88;17.03;27.02;41.86;28.65;22.03;;25.18;17.06;17.96;17.53;16.35;14.2;8.93;22.29;26.47;17.43;;34.42;14.3;26.3;25.37;9.16;10.4;12.11;6.52;4.36;13.21;7.13;31;33;19;27;19;26;27;20;16;14;17;14;17;11;20;27;15;26
NO2;uur;µg/m³;20110101 09:00;20110101 10:00;35.4;34.5;46;47.3;47;40;38.6;39;36.6;39.9;22.1;46.48;35.56;;40.76;40.67;46.6;11.79;21.05;43.2;44.98;;18.82;9.89;39.45;16.71;13.66;22.1;36.73;41.07;34.24;13.45;16.67;15.46;29.31;40.63;39.46;23.57;;28.8;19.83;21.28;19.23;22.81;11.57;14.52;18.94;30.79;22.29;;26.72;12.93;17.49;15.53;8.45;9.71;4.58;5.41;2.73;12.21;7.35;41;45;28;37;24;31;35;29;20;18;39;20;19;14;23;17;24;37
NO2;uur;µg/m³;20110101 10:00;20110101 11:00;46;40.6;41.6;50.2;36.3;44.2;38.1;37.3;31.5;29.5;18.9;41.72;24.81;;40.1;37.5;40.7;10.4;24.79;34.18;40.9;;30.61;14.94;33.41;26.22;12.63;18.15;42.19;33.82;29.53;16.1;25.77;12.27;28.94;38.28;20.71;43.02;;35.68;25.53;22.84;20.27;21.64;8.13;13.09;25.13;30.91;22.78;;23.02;12.49;18.09;16.18;6.07;7.16;2.97;3.32;4;16.25;5.98;40;19;29;29;26;39;36;30;23;8;48;1;18;27;25;11;10;8
