Export;EXP-2023-01 (20230707 08:36);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10136;NL10137;NL10227;NL10230;NL10235;NL10236;NL10237;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10442;NL10444;NL10445;NL10448;NL10520;NL10537;NL10538;NL10544;NL10547;NL10548;NL10549;NL10620;NL10631;NL10633;NL10636;NL10639;NL10641;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704
NO2;uur;µg/m³;20110108 12:00;20110108 13:00;25.9;11.7;15.8;12.9;12.5;27;31.9;24.9;25.2;16.3;12.1;7.17;3.08;8.55;10.65;7.01;7.72;5.54;13.05;15.94;15.3;9.25;9.12;9.36;7.71;7.25;4.55;16.86;26.34;20.88;30.01;8.58;11.18;13.16;27.25;27.72;18.01;30.2;11.98;31.4;15.69;13.61;12.52;8.1;6.86;5.98;21.78;23.19;27.16;;6.26;7.21;15.51;7.18;5.46;6.04;6.07;9.13;6.35;19.97;5.86;42;13;26;22;;27;19;28;11;16;13;46;28;13;10;16;15;15
NO2;uur;µg/m³;20110108 13:00;20110108 14:00;25.5;13.7;14.5;21.5;12.3;34.9;35.5;27.6;22.5;30.9;14.9;7.62;1.69;12.19;16.33;8.62;8.15;6.3;9.7;15.9;15.05;10.38;16.96;6.08;6.82;6.62;3.57;13.79;25.05;25.31;29.45;8.36;13.66;8.17;25.61;28.43;19.96;23.99;10.2;30.06;14.91;11.16;12.18;10.82;5.89;9.12;22.54;31.88;23.42;;4.33;8.12;16.49;8.98;4.57;7.02;4.67;7.59;5.87;20.5;6.22;56;15;28;29;;30;18;35;13;13;9;19;22;10;9;14;10;14
NO2;uur;µg/m³;20110108 14:00;20110108 15:00;35.6;14.8;15.2;14.9;13.7;28.8;32.5;26.2;30.7;38;19.9;8.75;3.08;13.32;15.73;8.19;9.84;7.96;8.06;18.71;15.18;11.59;14.98;5.34;8.83;4.42;2.9;15.2;20.32;24.52;26.23;8.43;10.24;8.11;31.71;35.12;24.21;21.86;11.09;25.88;13;11.04;10.41;7.38;6.57;8.96;20.48;27.61;24.05;;4.1;8.82;18.01;8.71;5.77;6.8;5.53;6.53;6.72;24.06;8.12;48;16;19;28;;33;20;44;14;11;10;17;13;8;9;10;8;13
NO2;uur;µg/m³;20110108 15:00;20110108 16:00;37.2;10.7;14.7;19.7;13.4;30.3;29;32.9;29.7;40.3;28.6;8.01;4.05;12.9;14.84;8.27;11.13;7.84;7.54;17.91;20.41;13.81;24.16;11.52;11.15;5.39;3.71;21.28;39.2;18.69;25.75;6.58;11.13;8.53;51.4;40.76;17.66;26.5;7.96;32.25;15.76;12.56;12.5;9.28;5.15;9.41;17.89;26.35;22.9;;4.54;8.71;20.51;9.28;7.28;6.79;3.56;8.04;7.27;29.14;8.02;47;21;17;19;;26;24;40;19;10;14;13;12;9;12;12;9;22
NO2;uur;µg/m³;20110108 16:00;20110108 17:00;29.2;11;13.6;17.4;13.7;28.5;39;43.1;41.5;48.8;27.8;9.9;6.03;13.93;16.63;8.5;10.79;8.88;9.81;19.36;24.9;16.47;30.09;14.14;14.4;7.42;3.71;30.45;34.77;23.44;30.37;9.57;13.15;14.51;52.23;45.95;19.32;34.95;7.98;37.26;22.34;16.97;18.64;7.88;7.54;12.84;19.74;31.37;30.86;;11.74;7.74;26.94;11.75;6.72;6.97;6.26;8.49;6.77;27.57;9.01;59;23;23;23;;38;26;48;25;14;21;15;17;13;17;15;14;23
NO2;uur;µg/m³;20110108 17:00;20110108 18:00;36.7;14.6;17.3;23.3;17.8;38.1;44.7;33.9;38.1;57.2;36.1;10.63;7.33;19.8;20.27;10.61;13.36;8.83;9.74;21.73;27.59;16.24;20.9;15.88;14.11;10.39;4.28;21.25;60.8;28.18;36.79;9.09;13.38;13.96;52.27;41.13;25.21;35.75;8.38;42.7;22.97;19.83;21.52;10.01;12.7;14.06;20.41;29.05;31.4;;7.87;8.77;28.95;13.94;5.23;9.78;5.28;7.98;7.27;30.92;7.26;65;29;26;27;;42;29;55;30;16;36;20;20;17;21;21;19;32
NO2;uur;µg/m³;20110108 18:00;20110108 19:00;31.3;14.4;18.9;24.3;21;32.7;42.4;33.1;37.1;33.7;33.9;12.5;7.13;9.82;13.98;8.28;17.86;9.52;14.34;26.5;28.42;16.47;21.01;12.89;15.7;6.86;4.41;22.37;53.58;33.1;28.14;9.8;20.36;17.91;47.1;38.2;23.76;28.32;8.47;42.08;25.59;20.41;19.63;9.4;11.5;14.67;22.93;25.58;31.94;;8.08;7.37;23.33;13.46;5.51;11.17;5.63;9.21;9.12;32.7;7.2;64;26;26;31;;37;27;47;23;16;36;16;22;16;19;17;17;17
NO2;uur;µg/m³;20110108 19:00;20110108 20:00;34;16.7;52.3;59.8;45.6;33.4;55.7;38.2;27;36.7;44.1;12.77;7.82;10.05;11.7;8.3;19.76;10.32;16.46;25.14;30.22;19.85;20.29;10.21;19.14;8.8;5.32;22.34;51.67;37.22;23.08;9.68;14.19;14.77;41.4;41.51;28.98;33.28;7.7;32.38;24.93;21.83;18.72;12.9;13.02;13.29;30.04;29.76;26.56;;8.67;7.8;20.52;13.22;5.98;13.43;6.44;9.73;7.86;23.69;9.4;68;22;29;24;;33;27;46;23;16;31;12;20;13;15;13;17;15
NO2;uur;µg/m³;20110108 20:00;20110108 21:00;34.1;19.6;53.2;55.7;51.5;57.6;49.9;39.8;28.8;30.9;;11.11;9.5;13.63;22.78;19.51;19.14;14.55;11.31;27.92;37.75;18.31;15.54;10.94;21.44;8.62;21.1;31.07;64.95;31.11;32.16;9.84;22.58;15.77;61.54;45.86;23.42;32.75;6.52;31.07;21.74;21.67;15.11;25.61;13.1;10.83;28.3;30.06;28.88;;8.6;7.92;24.06;12.8;5.33;10.84;4.4;10.94;7.16;32.53;9.08;58;21;26;29;;30;27;39;23;14;31;12;19;13;19;13;14;28
NO2;uur;µg/m³;20110108 21:00;20110108 22:00;37.8;21.8;56.5;67;54.8;46.9;52.3;46.1;31;30.3;;13.25;8.5;10.88;12.85;11.89;21.38;13.09;9.78;28.72;33.28;8.31;27.26;12.78;18.1;13.06;13.94;24.16;47.68;42.67;28.98;10.56;19.76;7.94;47.18;47.66;21.97;38.17;6.22;26.76;23.42;21.2;17.3;31.29;13.01;11.9;37.08;34.57;27.53;;8.21;12.42;24.69;16.52;8.69;9.57;3.58;10.27;7.79;30.78;11.72;101;15;30;22;;29;27;39;22;12;34;11;;9;17;14;12;15
NO2;uur;µg/m³;20110108 22:00;20110108 23:00;42.2;20.2;50.2;69.5;60.4;46.9;53.6;45;27.9;33.2;;10.56;8.36;9.1;9.08;6.98;19.82;10.91;17.52;24.95;25.68;15.41;31.39;11.88;15.98;11.91;15.3;27.18;73.08;33.62;28.1;10.15;19.13;5.79;48.28;49.33;24.09;36.11;7.59;37.88;27.25;21.54;21.05;30.24;13.77;13.71;43.71;43.38;31.24;;8.79;7.98;29.91;20.22;7.69;10.73;3.13;7.84;7.59;35.91;10.5;92;20;26;29;;31;26;45;26;11;30;9;18;7;15;21;15;23
NO2;uur;µg/m³;20110108 23:00;20110109 00:00;36.6;19.7;38.8;56.3;53.3;42.5;48.7;35.7;26;40.6;;9.63;8.83;13.29;13.02;7.95;17.58;11.25;17.91;20.17;21.57;17.71;36.13;;10.59;16.24;13.07;39.96;114.91;45.37;30.51;10.59;18.07;5.6;66.19;48.9;17.81;38.54;10.21;34.34;36.17;21.31;21.5;27.38;13.15;13.15;49.36;53.41;28.88;;9.05;10.12;36.5;25.95;6.86;9.72;3.5;7.79;6.14;40.54;10.54;74;19;30;31;;38;25;50;23;13;42;13;15;9;15;24;15;20
NO2;uur;µg/m³;20110109 00:00;20110109 01:00;29.4;18.3;33.5;49.2;42;34.8;42.9;50.6;35.8;53.4;;9.78;;;11.54;7.88;21.76;7.55;;12.29;17.16;17.45;40.55;10.74;9.17;32.53;16.26;28.57;90.11;61.14;42.05;10.96;16.42;18.09;57.57;54.04;38.32;31.34;10.13;60.6;28.82;17.8;24.3;;;13.72;47.12;46.99;40.94;;7.13;17.77;38.63;26.34;6.23;8.46;8.1;9.02;;36;12.61;101;31;46;48;;54;42;71;31;23;21;12;42;16;17;42;27;34
NO2;uur;µg/m³;20110109 01:00;20110109 02:00;29.1;17.4;18.1;32.6;30.1;35.2;44.2;65.6;58.3;51.9;;11.04;8.84;;9.3;8.44;23.03;8.22;34.05;10.96;19.71;20.69;34.23;22.52;10.51;34.97;19.05;35.85;52.45;49.15;43.08;12.62;18.08;22.57;61.79;66.64;43.22;31.24;6.69;62.07;21.29;15.31;22.87;13.14;12.81;40.74;39.7;39.49;37.83;;5.94;22.68;27.52;17.98;7.35;10.44;7.44;9.77;7.1;36.37;13.71;80;;;47;;55;43;50;27;33;16;16;52;27;26;46;;
NO2;uur;µg/m³;20110109 02:00;20110109 03:00;28.8;26.4;23.7;29.1;24.4;32.4;56.2;41.1;56.8;56.7;;10.87;8.12;;10.53;7.82;22.54;9.45;19;11.53;21.89;23.19;43.21;42.17;12.73;32.29;16.18;61.31;46.88;48.09;50.16;23.28;20.07;17.83;64.82;45.43;43.12;29.23;10.94;52.23;32.84;31.26;29.62;13.36;11.95;30.43;30.29;28.27;42.87;;5.91;18.82;21.66;16.47;9.21;12.38;9.63;10.79;7.39;26.79;17.07;80;51;;44;;57;47;43;44;33;15;20;49;24;40;44;26;26
NO2;uur;µg/m³;20110109 03:00;20110109 04:00;31.7;28.2;26.4;32.1;30;30.7;48.6;51;50.9;56.1;;9.91;9.02;;9.93;6.67;27.68;14.12;20.64;14.98;19.38;30.02;52.87;32.4;20.4;21.43;11.31;39.25;47.85;37.76;51.31;31.53;31.56;18.48;46.5;55.89;41.79;24.01;10.79;67.67;26.73;25.24;30.67;13.79;16.74;18.74;20.22;20.49;25.77;;7.9;16.84;21.33;14.98;7.82;11.66;13.83;9.61;9.2;24.3;16.62;64;46;;39;;67;52;49;45;33;20;19;56;22;48;35;21;22
NO2;uur;µg/m³;20110109 04:00;20110109 05:00;25.6;22.4;21.7;33.9;32;29.2;46.9;39.3;52.2;52.2;;7.24;10.89;;6.66;6.05;30.87;17.47;17.78;21.06;27.82;27.07;44.63;26.7;24.63;21.75;11.93;35.98;50.85;39.77;48.88;23.59;28.04;8.92;45.7;43.98;48.33;19.27;13.15;69.77;21.91;21.21;23.35;20.79;20.98;21.93;22.04;23.89;26.07;;13.38;11.01;24.87;15.09;8.9;13.66;17.93;10.02;10.57;19.91;18.04;68;49;;49;;58;50;52;31;40;23;11;59;29;40;38;20;22
NO2;uur;µg/m³;20110109 05:00;20110109 06:00;21.5;18.6;17.3;27.1;24.2;29.5;50.3;30.4;56.1;46.2;;4.6;14.61;;4.66;4.26;29.23;11.86;11.26;20.89;31.26;20.68;34.64;14.66;23.8;18.58;12.42;44.91;56.25;37.38;41.73;21.88;24.14;11.17;39.07;32.33;39.73;14.16;12.11;54.01;24.18;21.96;25.48;18.2;20.61;22.47;24.06;24.64;26.84;;10.9;13.18;26.26;20.63;11.51;17.04;23.23;9.71;12.3;23.33;14.59;55;52;;40;;51;45;42;35;35;14;13;56;24;38;37;19;21
NO2;uur;µg/m³;20110109 06:00;20110109 07:00;26.8;18.3;19.5;28.2;26.8;31.3;48.3;32.3;57.8;53.4;;4.94;13.51;;7.04;4.42;28.51;14.58;14.92;21.6;25.2;15.78;35.02;17.39;20.8;18.39;9.65;49.35;38.74;38.73;43.17;14.84;20.55;15.07;40.67;32.39;40.52;19.25;12.76;47.57;22.62;21.27;23.74;17.82;18.13;21.84;21.57;23.18;28.38;;8.55;14.82;24.42;21.35;12.17;18.93;26.07;10.7;16.3;24.39;17.92;47;47;;41;;50;47;42;26;43;13;25;58;33;22;37;18;24
NO2;uur;µg/m³;20110109 07:00;20110109 08:00;25.6;15.8;17.8;26.9;25.3;27.4;49.1;40.8;55.7;60.3;;8.35;18.21;;10.12;5.05;24.47;20.04;17.3;21.32;22.45;15.75;33.59;17.41;17.74;14.1;10.02;34.13;49.38;37.73;44.46;16.67;23.13;15.01;42.19;36.11;35.85;18.78;25.82;41.86;21.43;18.08;22.27;14.6;18.27;18.8;21.04;21.3;31.85;;12.12;15.48;20.01;16.6;11.32;16.34;23.24;13.42;22.6;28.4;22.37;60;32;;42;;33;34;47;30;34;20;11;56;22;24;36;14;18
NO2;uur;µg/m³;20110109 08:00;20110109 09:00;21.6;15.3;15.3;25.9;24.2;29.2;50.7;38.3;59.4;54.6;;10.5;15.37;;13.55;9.18;25.53;17.06;15.05;17.78;21.29;29.04;42.1;19.07;16.62;17.71;9.59;23.09;69.43;38.26;48.57;14.3;23.08;17.44;35.53;37.49;42.11;21.47;7.82;42.13;24.39;18.69;23.29;16.48;15.94;23.24;20.98;23.48;29.48;;14.79;14.39;20.29;16.14;12.72;14.16;20.44;13.96;20.23;30.1;22.89;53;36;;39;;38;40;48;27;23;30;9;28;16;27;18;14;21
NO2;uur;µg/m³;20110109 09:00;20110109 10:00;38.9;15.4;17.2;26.6;26.3;33.8;50.8;44.7;53.7;38.1;;11.58;13.48;;20.03;14.58;24.74;13.81;15.91;18.69;23.98;27.13;29.37;16.38;17.16;15.63;10.15;22.14;87.26;40.75;45.56;12.39;23.15;6.16;38.12;47.02;33.59;17.82;3.32;36.5;24.52;23.55;23.08;17.06;16.17;24.76;24.47;27.94;34.91;;11.74;14.49;26.38;22.04;14.32;13.46;16.67;11.67;19.02;36.89;20.98;47;45;;30;;36;49;42;31;17;16;8;23;15;25;10;10;12
NO2;uur;µg/m³;20110109 10:00;20110109 11:00;35.6;16.2;17.1;27.9;29.8;35.3;47.4;44.9;44.9;33.3;;12.69;13.33;;20.77;15.09;23.61;14.87;15.33;20.24;28.84;29.27;31.67;18.1;20.11;15;11.73;14.98;80.78;29.01;44.06;15.64;19.56;5.65;34.37;51.33;19.05;17.28;2.63;45.11;25.46;24.94;23.43;13.06;16.63;25.45;23.22;27.79;45.4;;14.61;15.4;28.9;20.42;15.9;14.42;9.9;10.88;14.28;35.71;18.36;49;29;;22;;38;30;37;32;7;28;7;16;6;;7;8;9
NO2;uur;µg/m³;20110109 11:00;20110109 12:00;40.6;12.6;20.1;24.6;22.7;33.8;38;43.5;35.1;19.2;;14.71;12;;19;14.23;19.8;18.1;13.2;17.37;22.87;21.81;40.6;17.22;14.01;10.49;15.95;14.95;55.63;29.81;26.37;14.36;16.4;4.26;25.67;47.45;13.51;15.79;2.38;43.53;26.68;22.96;24.8;12.93;16.25;20.17;26.14;27.9;40.69;;13.78;14.2;27.37;18.64;13.02;13.87;5.33;11.5;10.88;31.65;14.37;57;19;;17;;24;19;32;26;5;20;6;13;4;10;6;6;7
NO2;uur;µg/m³;20110109 12:00;20110109 13:00;31.5;13.2;29;37.9;27.5;32.1;26.3;23.2;15.1;17.5;;12.63;11.66;;22.87;14.75;19.3;16.36;10.01;17.86;28.92;17.88;31.93;16.94;13.45;5.97;9.69;10.37;48.89;40.01;16.66;7.26;14.45;6.7;31.13;21.96;10.8;17.22;3.2;21.25;24.92;18.72;22.05;18.21;13.95;9.34;25.86;27.93;28.59;;13.62;11.14;29.76;16.87;10.35;13.56;4.01;11.97;5.04;26.95;11.75;56;11;;16;;24;15;30;13;5;26;6;11;4;9;6;6;9
NO2;uur;µg/m³;20110109 13:00;20110109 14:00;40.3;11.2;29;36.4;23.6;31;27.8;28.8;14.8;15.7;;14.2;11.08;;21.75;15.97;17.35;11.87;9.84;19.01;29.52;19.17;14.54;7.92;14.62;6.37;6.37;9.56;52.34;38.3;15.52;6.35;9.82;7.74;43.41;28.25;13.15;22.87;2.63;31.96;14.96;12.35;11.06;14.4;9.72;7.37;27.01;27.76;26.54;;12.4;10.96;27.48;17.02;9.49;12.94;3.86;11.32;4.18;26.59;9.35;55;14;;16;;23;16;32;13;6;26;9;14;6;9;7;8;9
NO2;uur;µg/m³;20110109 14:00;20110109 15:00;44.7;10.2;29.7;31;25.5;34.6;28.6;28.9;17.9;22.3;;15.26;11.77;;20.3;12.71;18.42;8.15;9.17;21.98;26.25;17.09;16.92;7.15;14.09;9.14;6.17;14.1;50.93;40.9;17.81;7.25;10.28;8.89;46.59;33.77;14.5;23.38;1.42;34.87;14.51;12.96;10.26;11.08;7.18;9.71;23.94;30.96;27.88;;12.18;11.73;25.75;14.73;10.9;6.74;4.21;12.01;4.49;25.27;9.59;68;16;;18;;30;19;34;14;8;34;7;15;8;11;7;8;10
NO2;uur;µg/m³;20110109 15:00;20110109 16:00;49.6;13.9;36.4;42.4;32;36.2;31.9;30.1;18.9;24.9;;11.79;10.22;;20.63;14.93;20.52;9.13;10.72;21.93;27.69;18.51;17.97;8.87;11.93;12.81;8.64;21.15;65.87;41.91;20.62;8.6;13.32;6.21;51.43;31.21;15.08;23.74;2.27;37.19;20.4;17.27;13.22;12.65;8.26;10.8;25.18;32.4;30.7;;11.77;9.46;30.21;17.1;13.07;7.15;3.26;12.09;4.3;27.62;10.54;62;16;;21;;30;19;39;17;6;38;9;13;5;13;8;8;11
NO2;uur;µg/m³;20110109 16:00;20110109 17:00;57.7;18.6;34.4;46.6;40.2;45.7;45.7;41.9;26.5;32.9;;15.97;11.2;;28.84;19.1;27.67;9.91;19.01;32.22;49.15;30.56;40.29;13.8;19.56;21.53;10.73;24.04;87.62;51.55;26.89;10.21;16.61;7.81;59.35;49.17;20.27;27.56;2.96;32.81;26.46;23.02;20.63;13.84;9.88;16.49;37.77;37.22;44.71;;11.49;9.27;43.98;23.33;15.79;7.8;3.59;7.96;5.99;31.63;11.84;83;17;;22;;35;23;46;22;8;46;14;15;7;13;10;11;17
NO2;uur;µg/m³;20110109 17:00;20110109 18:00;58.1;22.2;28.8;41.5;32.9;59;61.8;63.9;53.9;62.4;;39.43;19.36;;34.21;29.74;35.22;15.44;34.56;40.74;72.31;40.3;53.13;22.45;44.59;22.57;14.83;28.46;104.94;49.49;46.81;16.16;25.77;8.08;61.9;68.66;22.57;32.05;3.94;52.34;33.72;27.11;28.52;16.01;11.21;22.92;39.74;44.8;47.48;;14.97;10.8;53.74;29.21;15.58;8.75;4.22;7.12;6.39;37.32;14.54;67;23;;28;;36;;51;31;10;54;9;19;10;19;15;14;13
NO2;uur;µg/m³;20110109 18:00;20110109 19:00;58.9;26.1;29.9;47.6;43.4;57.8;76.1;65.7;63.9;48.8;;34.69;26.53;;56.69;30.5;45.14;35.01;27.37;56.16;80.77;47.7;48.74;31.96;60.84;21.68;14.69;32.53;80.91;51.04;57.74;21.02;31.75;7.09;66.46;69.95;28.93;35.07;4.55;69.39;44.12;28.78;40.85;20.98;10.92;35.46;45.68;54.18;59.3;;13.97;13.81;45.16;31.62;15.58;9.37;5.57;7.14;7.78;34.32;11.19;79;30;;36;;54;;;52;;44;9;21;13;32;15;14;15
NO2;uur;µg/m³;20110109 19:00;20110109 20:00;57.1;25.6;27.4;50.4;44.8;58.8;75.9;62.8;61.5;59.1;;29.14;30.42;;42.88;20.78;44.4;25.43;27.05;58.86;78.79;49.43;56.32;31.82;47.03;17;21.45;32.16;54.78;52.72;63.95;20.14;37.31;9.12;64.29;69.57;34.66;43.44;4.78;60.69;49.73;44.67;54.22;20.81;14.35;41.37;44.71;51.98;57.65;;15.58;17.12;39.89;26.78;18.19;13.31;8.74;8.04;7.32;39.13;10.99;80;43;;44;;66;59;74;44;26;50;11;29;18;26;27;24;32
NO2;uur;µg/m³;20110109 20:00;20110109 21:00;48.1;28.9;28.1;50.5;47.7;61.4;75.9;62.7;65.2;58.4;;34.96;28.57;;48.04;27.83;41.19;38.36;27.53;57.93;70.01;46.1;53.82;31.77;42.68;19.75;26.47;32.58;66.06;47.11;64.72;21.29;35.88;7.82;61.76;68.32;56.4;60.17;9.95;61.67;49;40.97;50.28;23.95;24.43;38.35;44.75;53.1;62.16;;16.6;19.88;43.32;28.33;20.18;14.27;11.45;8.45;7.68;36.8;13.37;82;57;;55;;63;62;89;52;33;60;8;60;22;47;31;23;34
NO2;uur;µg/m³;20110109 21:00;20110109 22:00;52.1;27.1;28;51.1;46.9;61.2;72.3;65.4;68.5;57.4;;34.23;30.57;;46.92;30.46;43.07;44.65;25.88;54.85;65.08;46.32;57.18;41.33;40;37.84;20.57;74.36;67.37;54.33;61.8;35.28;38.83;6.67;99.4;67;65.66;47.58;12.08;76.83;47.38;41.59;47.96;32.47;29.16;38.58;44.55;48.32;60.62;;17.07;26.27;46.65;32.77;21.4;20.98;11.32;12.33;8.1;36.95;12.32;90;53;;74;;67;60;84;;43;;;70;;66;37;26;32
NO2;uur;µg/m³;20110109 22:00;20110109 23:00;43;29.4;27.7;49.4;46;57;71.9;57.9;67.4;56.7;;29.2;36.53;;40.73;31.1;50.93;55.02;27.06;53.57;62.86;43.36;60.21;48.48;38.6;49.07;20.74;58.52;100.02;57.66;60.89;35.59;39.76;7.48;88.61;59.92;68.71;42.3;12.72;86.5;42.48;42.05;44.73;29.81;29.97;37.04;39.48;44.62;60.4;;19.53;26.09;44.63;36.55;23.27;27.14;13.3;15.86;7.96;37.79;12.89;80;67;;72;;69;65;75;63;39;62;7;74;38;70;53;31;39
NO2;uur;µg/m³;20110109 23:00;20110110 00:00;40.5;31.7;35.3;55.3;47;59.8;67.7;59.8;66;57.3;;27.31;35.61;;44.45;29.82;50.43;60.1;31.56;48.9;61.69;47.31;;44.29;44.14;69.97;18.84;46.74;108.92;63.81;59.93;33.35;39.36;12.17;99.27;60.32;62.71;41.3;11.12;87.89;40.65;39.2;42.3;33.49;28.59;41.41;34.5;41.77;53;;20.45;24.68;44.6;39.67;24.18;25.96;17.94;19.87;9.29;33.48;15.19;85;75;;72;;76;68;75;56;61;56;8;77;61;67;51;35;41
NO2;uur;µg/m³;20110110 00:00;20110110 01:00;47.8;40.9;42.4;48.2;47.6;50.7;64.2;59.6;63;53.9;;28.8;;41.82;34.3;;40.87;58.52;;46.82;53;40.17;59.19;36.96;42.6;60.78;21.12;83.63;84.72;60.71;55.26;38.44;45.3;21.05;81.32;60.26;65.64;45.32;;82.2;39;35.97;41.08;31.97;;28.38;38.54;42.64;43.94;;16.26;32.32;44.79;41.26;21.87;29.13;33.32;20.23;;31.79;16.47;76;68;;69;;71;68;74;58;61;40;8;74;69;65;57;53;59
NO2;uur;µg/m³;20110110 01:00;20110110 02:00;50.9;46.4;43.8;53.9;50.9;49.3;61.5;56.5;64.5;52.7;;32.5;37.38;34.24;31.34;24.31;42.19;57.29;34.67;49.6;48.9;39.32;57.84;39.68;43.35;65.12;24.96;72.89;74.66;62.36;56.53;41.36;43.2;20.39;71.56;59.15;63.81;48.31;13.75;76.03;37.53;36.43;40.15;35.3;30.89;34.93;36.72;40.97;42.8;;18.69;33.54;44.37;42.22;22.8;29.69;34.18;20.83;9.27;28.87;17.31;74;68;;63;;;65;70;59;54;20;12;72;58;56;56;52;51
NO2;uur;µg/m³;20110110 02:00;20110110 03:00;51.9;47.4;48.4;53.1;51.9;49.1;60.3;58.3;59.8;58;;32.89;40.6;29.13;22.86;18.83;40.81;55.84;31.35;49.97;48.03;39.46;56.44;48.73;45.73;60.76;24.21;69.22;82.69;61.95;55.56;41.52;42.88;26.37;66.65;59.54;62.5;40.8;15.31;72.39;40.61;40.86;41.1;43.76;32.3;37.42;39.49;43.28;45.04;;22.26;32.98;48.77;46.36;22.45;28.92;25.17;18.68;10.1;31.37;19.11;73;67;;;;69;68;69;58;65;18;25;69;68;51;57;43;41
NO2;uur;µg/m³;20110110 03:00;20110110 04:00;52.9;46.6;49.4;51.2;49.1;50.9;58.9;56.1;57.5;53.2;;30.34;40.37;26.84;18.23;15.96;37.38;49.87;33.31;46.34;47.86;54.89;44.24;49.91;41.69;51.49;26.76;69.37;79.83;59.02;54.1;41.97;44.45;39.71;67.85;57.33;58.71;45.8;18.18;72.94;41.85;40;40.84;38.87;34.47;41.61;41.46;47.14;47.39;;25.28;34.73;49.88;48.05;23.98;28.26;22.19;19.23;15.34;30.79;21.57;68;60;;62;;65;61;68;57;60;23;33;62;62;50;58;56;55
NO2;uur;µg/m³;20110110 04:00;20110110 05:00;57.9;41.5;44.8;50;47.7;56.5;61.8;53.1;55.3;53.9;;29.59;33.54;17.48;17.49;15.96;35.97;41.58;34.84;40.97;40.87;56.57;45.53;51.47;40.67;42.16;34.66;79.29;89;55.62;53.13;46.26;47.3;47.57;74.8;56.12;55.33;60.26;16.05;71.97;45.28;43.64;44.45;41.19;34.64;44.22;44.33;51.43;55.69;;29.06;37.86;49.23;48.53;26.28;31.12;37.07;19.41;21.97;31.38;23.42;70;59;;60;;60;58;67;56;55;41;45;61;56;56;63;56;65
NO2;uur;µg/m³;20110110 05:00;20110110 06:00;71.3;44;45.9;55.5;48.6;82.2;66.5;57.2;51.5;51.3;;25.43;28.76;14.79;18.8;15.9;33.93;40.36;34.42;41.26;39.85;51.51;51.58;56.94;37.86;36.2;32.55;78.04;84.42;52.29;49.96;52.22;47.62;49.89;77.63;56.9;59.06;64.04;25.98;74.26;49.17;48.15;44.92;45.4;39.38;43.71;50.18;52.37;69.28;;30.84;41.76;49.54;46.44;31.52;32.96;40.16;20.01;25.73;40.98;25.81;75;65;;64;;65;65;69;49;59;48;47;66;59;60;59;54;59
NO2;uur;µg/m³;20110110 06:00;20110110 07:00;107.1;49.8;57.2;77.6;54.4;117.3;84.1;65.1;55.6;50.3;;32.11;31.24;22.21;32.03;20.95;35.6;39.01;40.88;39.48;49.06;49.93;55.37;63.12;40.27;43.75;31.34;86.2;89.87;55.57;47.89;52.35;56.15;52.68;79.92;66.66;70.62;79.68;40.86;75.58;52.43;54.49;49.47;50.47;44.29;46.07;59.07;71.91;115.24;;34.46;44.45;45.74;41.28;37.37;38.5;48.64;23.09;36.63;54.68;34.71;;63;;80;;63;68;80;50;62;55;56;79;61;73;;64;65
NO2;uur;µg/m³;20110110 07:00;20110110 08:00;99.9;53.9;61.4;84.4;59.7;113.4;76.9;67.8;63.2;55;;39.32;40.23;40.33;40.05;23.6;42.25;40.15;45.7;51.1;59.04;52.17;55.93;61.31;44.32;53.49;40.75;79.43;106.32;63.47;51.64;53.53;61.58;54.81;64.08;78.56;64.98;85.05;50.15;74.96;58.47;66.77;53.59;61.19;49.03;49.22;79.91;84.79;72.89;;37.13;47.92;48.25;43.45;42.34;44.36;48.95;29.39;44.58;60.77;39.74;81;55;;89;;58;59;76;54;61;60;60;68;62;63;69;71;77
NO2;uur;µg/m³;20110110 08:00;20110110 09:00;98.4;57.8;62.8;86.7;63.3;113.9;82.4;74.6;67.1;56.8;;42.07;40.26;38.66;58.07;32.91;50.42;41.51;48.06;48.72;66.02;53.92;56.53;61.12;45.99;62.72;55.21;74.29;98.42;65.05;53.51;57.23;62.61;59.88;68.95;78.04;64.85;92.27;59.23;77.43;66.59;73.3;60.76;57.82;47.53;54.96;82.96;85.67;88.5;;37.55;45.26;51.88;46.31;42.68;41.25;49.19;35.77;50.61;65.24;41.95;100;55;;82;;58;59;78;58;55;59;62;79;57;64;65;68;68
