Export;EXP-2023-01 (20230707 10:54);;;StationsCode;NL01485;NL01489;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10137;NL10227;NL10230;NL10235;NL10236;NL10241;NL10247;NL10301;NL10318;NL10404;NL10411;NL10411;NL10418;NL10433;NL10437;NL10441;NL10442;NL10444;NL10520;NL10537;NL10538;NL10544;NL10620;NL10631;NL10633;NL10639;NL10639;NL10641;NL10722;NL10738;NL10742;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10938;NL49003;NL49012;NL49014;NL49562;NL49564
O3;uur;µg/m³;20100101 01:00;20100101 02:00;;56;55.3;54.9;53.9;41.4;40.346;46.453;30.027;31.797;37.126;47.477;53.776;41.049;;;44.503;49.63;39.93;32.34;;45.302;;57.251;52.561;;54.309;48.809;36.679;64.564;56.431;65.033;57.145;54.682;54.618;;55.802;66.184;64.628;53.03;;58.125;56.196;70.33;61.323;60.097;50.621;46;;40;49;46
O3;uur;µg/m³;20100101 02:00;20100101 03:00;;61.7;55.8;54.6;54.4;49.2;41.678;48.873;33.193;35.336;39.386;54.48;55.024;45.164;;;47.924;49.118;43.938;35.698;;47.434;;60.023;53.062;;58.083;50.078;39.983;62.251;56.676;70.234;57.305;57.347;56.452;;73.528;64.979;66.802;55.962;;56.878;49.683;65.843;51.058;62.059;54.235;48;;43;51;55
O3;uur;µg/m³;20100101 03:00;20100101 04:00;;62.8;55.2;55.3;45.4;53.9;45.633;51.73;35.442;36.679;43.17;57.838;57.486;49.331;;;48.98;51.293;46.283;37.041;;48.191;;63.476;60.961;;59.628;51.538;42.264;60.46;58.243;71.876;49.235;48.436;56.356;;89.528;64.777;64.638;60.343;;53.425;45.398;66.77;52.924;62.304;56.868;51;;45;55;56
O3;uur;µg/m³;20100101 04:00;20100101 05:00;;57.2;49.6;53.6;44.1;53.4;47.114;53.68;37.926;36.828;45.569;60.364;61.419;52.657;;;48.489;56.047;47.434;37.126;;42.275;;59.98;59.756;;60.247;53.904;44.428;63.743;60.449;66.493;49.726;50.749;52.998;;64.414;64.009;63.221;59.788;;50.014;47.605;68.198;54.267;63.892;56.463;52;;45;57;54
O3;uur;µg/m³;20100101 05:00;20100101 06:00;;;;;;;47.391;52.284;39.29;38.182;46.954;60.332;63.039;50.802;;;48.127;57.678;48.607;42.211;;43.543;;55.663;54.565;;59.852;54.864;45.665;63.817;59.49;57.859;51.74;51.41;48.671;;59.479;57.902;58.904;57.997;;51.538;51.005;66.717;54.864;64.681;55.439;52;;49;57;50
O3;uur;µg/m³;20100101 06:00;20100101 07:00;;55.5;50;50.5;43.9;54.4;48.106;52.114;40.537;39.578;45.814;58.488;59.948;50.611;;;50.451;53.67;49.886;44.918;;42.254;;54.64;51.698;;64.574;56.612;48.063;65.182;62.815;60.151;52.423;53.542;48.873;;53.446;57.422;58.829;53.318;;52.561;52.391;66.93;56.526;62.272;57.059;54;;49;61;53
O3;uur;µg/m³;20100101 07:00;20100101 08:00;;56.7;52.5;49.1;41.8;59.6;49.939;51.858;42.296;41.305;45.601;56.601;55.759;50.461;;;46.453;49.822;51.911;48.521;;45.878;;52.551;50.493;;61.792;55.514;44.247;65.246;60.502;58.498;53.553;54.32;50.269;;60.993;59.138;58.967;50.856;;48.681;50.6;68.753;54.32;59.287;57.283;52;;48;57;54
O3;uur;µg/m³;20100101 08:00;20100101 09:00;;56.4;49.6;47.3;38.7;55.9;49.235;49.235;42.659;40.815;47.061;56.175;55.556;48.234;;;48.415;49.747;49.662;45.739;;44.886;;53.904;47.775;;59.788;53.371;42.488;64.83;52.071;62.645;48.756;52.583;49.832;;100.464;62.176;58.925;55.599;;48.639;48.02;65.47;55.397;59.831;55.077;48;;46;48;
O3;uur;µg/m³;20100101 09:00;20100101 10:00;;53.9;40.5;45.6;37.4;54.1;52.615;51.698;44.055;41.028;44.897;57.475;53.99;49.683;;;47.892;47.796;47.285;45.11;;39.269;;52.476;48.575;;63.135;55.525;44.663;63.476;54.491;63.231;48.937;47.072;48.042;;48.607;59.863;57.902;56.495;;48.809;50.248;65.416;54.629;57.955;52.828;51;;47;51;49
O3;uur;µg/m³;20100101 10:00;20100101 11:00;;52.4;41.8;46.9;41;57.2;53.51;52.145;46.954;43.938;45.707;54.512;55.983;49.001;;;48.436;49.982;50.088;47.338;;37.425;;48.948;49.832;;63.125;56.324;45.046;62.187;55.887;63.05;50.461;49.886;48.361;;48.308;55.994;55.994;48.5;;50.461;51.122;63.956;55.226;60.311;52.924;51;;50;52;52
