Day,NL10636,NL10639,NL10641,NL10643,Average_o3
2022-01-01,30.530869565217394,28.373478260869568,26.738260869565217,32.904347826086955,29.636739130434783
2022-01-02,47.87125,46.512499999999996,48.007083333333334,49.71125,48.02552083333333
2022-01-03,59.54458333333333,59.4,59.32875000000001,62.725,60.249583333333334
2022-01-04,49.812083333333334,49.21541666666667,43.79416666666666,54.19,49.252916666666664
2022-01-05,46.636086956521744,48.02478260869565,53.55347826086957,50.08695652173913,49.57532608695652
2022-01-06,33.40208333333333,31.417083333333334,33.38708333333333,37.35583333333333,33.890520833333326
2022-01-07,45.34125,41.96333333333333,41.435833333333335,48.596666666666664,44.334270833333335
2022-01-08,40.85125,38.2325,40.172916666666666,43.15375,40.602604166666666
2022-01-09,48.95173913043479,49.62173913043478,51.21695652173913,53.55347826086957,50.83597826086957
2022-01-10,3.50125,2.935,4.254583333333334,4.954166666666667,3.91125
2022-01-11,10.147083333333333,8.62125,11.143749999999999,11.222916666666668,10.28375
2022-01-12,13.924583333333333,13.344583333333333,11.3225,17.100833333333334,13.923124999999999
2022-01-13,4.678260869565217,4.321304347826087,5.5291304347826085,5.008260869565217,4.884239130434782
2022-01-14,7.572083333333333,4.287916666666667,14.7125,8.602916666666667,8.793854166666666
2022-01-15,7.579999999999999,7.225833333333333,12.05625,7.7370833333333335,8.649791666666665
2022-01-16,16.017916666666668,16.145,22.284166666666664,17.345,17.94802083333333
2022-01-17,39.94391304347826,38.07304347826087,42.552608695652175,42.98478260869565,40.888586956521735
2022-01-18,16.388333333333332,18.94666666666667,13.099583333333333,20.71375,17.287083333333335
2022-01-19,15.740416666666667,14.893333333333333,19.035833333333333,17.619583333333335,16.82229166666667
2022-01-20,68.11208333333333,64.96666666666667,59.17458333333334,70.5625,65.70395833333333
2022-01-21,40.735217391304346,45.66434782608695,47.06913043478261,46.46478260869566,44.98336956521739
2022-01-22,37.85916666666667,39.96375,43.00666666666667,42.041666666666664,40.717812499999994
2022-01-23,32.07583333333333,19.3725,22.187083333333334,35.43416666666666,27.26739583333333
2022-01-24,33.4165,30.496666666666663,32.24041666666667,36.092083333333335,33.061416666666666
2022-01-25,22.944782608695654,20.623478260869565,29.03565217391304,24.124782608695654,24.182173913043478
2022-01-26,14.590000000000002,13.7575,20.773333333333333,16.7225,16.460833333333333
2022-01-27,44.00958333333333,46.317499999999995,48.986250000000005,46.55166666666667,46.46625
2022-01-28,39.57875,40.61541666666667,45.195,44.57708333333333,42.49156249999999
2022-01-29,49.01,51.14434782608696,53.68086956521739,51.372173913043476,51.301847826086956
2022-01-30,61.124583333333334,61.98333333333333,59.87416666666667,64.74666666666667,61.9321875
2022-01-31,68.99249999999999,68.01166666666667,68.29333333333334,70.63583333333334,68.98333333333333
2022-02-01,51.20583333333334,54.13833333333333,48.98583333333334,54.961666666666666,52.32291666666667
2022-02-02,47.12260869565217,49.59695652173913,29.04,52.13695652173914,44.47413043478261
2022-02-03,37.05166666666667,36.85875,37.858333333333334,40.96333333333333,38.18302083333333
2022-02-04,55.97375,55.65,61.24625,58.95208333333333,57.95552083333333
2022-02-05,57.29583333333333,58.187083333333334,65.28625,60.285,60.26354166666666
2022-02-06,71.08434782608695,72.18391304347826,78.06695652173913,73.91826086956522,73.81336956521739
2022-02-07,57.89541666666667,59.981249999999996,62.97083333333333,63.39166666666667,61.05979166666667
2022-02-08,55.89416666666667,54.509166666666665,56.94541666666667,60.57208333333333,56.98020833333333
2022-02-09,45.70083333333333,45.778333333333336,47.38041666666667,49.6675,47.13177083333333
2022-02-10,40.47260869565218,41.165217391304346,41.59652173913044,45.35521739130435,42.14739130434783
2022-02-11,49.314166666666665,50.3775,51.42958333333333,52.51416666666666,50.908854166666664
2022-02-12,36.82333333333333,33.53458333333334,37.489583333333336,37.68208333333333,36.382395833333334
2022-02-13,53.201249999999995,51.27708333333334,51.56333333333333,53.37583333333333,52.354375
2022-02-14,62.69565217391305,60.5404347826087,63.56434782608696,64.23782608695652,62.759565217391305
2022-02-15,45.76708333333334,43.893750000000004,49.90958333333333,46.67458333333334,46.56125000000001
2022-02-16,53.30583333333333,53.0325,58.376666666666665,55.48166666666666,55.049166666666665
2022-02-17,64.375,65.83583333333333,72.74625,67.95333333333333,67.72760416666667
2022-02-18,59.49565217391305,57.79913043478261,62.59782608695652,61.16391304347826,60.264130434782615
2022-02-19,64.0275,65.17208333333333,71.5175,66.50375,66.80520833333333
2022-02-20,69.61083333333333,68.98,75.21,71.13541666666667,71.23406250000001
2022-02-21,69.495,70.28666666666666,75.60708333333334,70.22416666666666,71.40322916666668
2022-02-22,50.67434782608696,50.40391304347826,55.21782608695652,53.47521739130435,52.442826086956515
2022-02-23,50.677083333333336,50.31,53.94708333333333,55.52291666666667,52.614270833333336
2022-02-24,58.78666666666666,59.20166666666666,64.6025,62.961666666666666,61.388124999999995
2022-02-25,52.840833333333336,55.861250000000005,60.656666666666666,57.87875,56.809375
2022-02-26,31.781304347826087,28.97478260869565,42.77478260869565,36.160869565217396,34.92293478260869
2022-02-27,46.11416666666667,41.52291666666667,50.865,48.731249999999996,46.80833333333333
2022-02-28,40.42125,36.219166666666666,44.2525,44.08583333333333,41.2446875
2022-03-01,15.515,11.154166666666667,16.137916666666666,18.555416666666666,15.340625000000001
2022-03-02,33.18391304347826,29.162608695652175,33.71391304347826,32.41,32.11760869565217
2022-03-03,46.66458333333333,42.53625,50.91416666666667,46.67583333333334,46.69770833333334
2022-03-04,43.96791666666667,39.026666666666664,49.30416666666667,46.34125,44.660000000000004
