Day,NL10636,NL10639,NL10641,NL10643,Average_no2
2015-01-01,31.61,35.32608695652174,33.02458333333333,29.7775,32.43454257246377
2015-01-02,18.604583333333334,16.755416666666665,16.200416666666666,13.27875,16.209791666666668
2015-01-03,37.782916666666665,38.524166666666666,38.033478260869565,29.46166666666667,35.950557065217396
2015-01-04,37.16041666666667,33.33208333333334,36.650416666666665,27.22375,33.59166666666667
2015-01-05,53.331250000000004,56.98833333333334,64.54666666666667,49.85583333333333,56.18052083333333
2015-01-06,54.22958333333333,55.62375,57.35695652173913,48.745000000000005,53.988822463768116
2015-01-07,44.961666666666666,52.74,54.16166666666667,39.93958333333334,47.95072916666667
2015-01-08,36.82041666666667,34.997083333333336,39.117916666666666,28.253333333333337,34.7971875
2015-01-09,21.51,22.229166666666668,24.779583333333335,18.331304347826087,21.712513586956526
2015-01-10,9.637916666666667,10.08625,10.81375,8.187916666666666,9.681458333333333
2015-01-11,12.734583333333333,11.281666666666666,11.331249999999999,10.83875,11.546562499999999
2015-01-12,20.640416666666667,22.717083333333335,27.16125,17.165833333333335,21.921145833333334
2015-01-13,24.993333333333336,29.665454545454544,36.487500000000004,18.387999999999998,27.383571969696973
2015-01-14,30.14625,33.36333333333334,41.221250000000005,22.65416666666667,31.846250000000005
2015-01-15,21.14375,25.020833333333332,34.53875,15.599583333333333,24.075729166666665
2015-01-16,39.5525,42.68541666666667,49.27565217391304,31.649583333333336,40.790788043478265
2015-01-17,42.79,43.10833333333333,45.916666666666664,36.70583333333334,42.130208333333336
2015-01-18,29.141666666666666,32.444583333333334,38.63583333333333,24.36125,31.145833333333332
2015-01-19,49.171666666666674,57.81,54.78818181818181,47.095416666666665,52.21631628787879
2015-01-20,53.245416666666664,59.435,67.03875000000001,45.56666666666666,56.32145833333334
2015-01-21,53.24583333333334,58.02782608695652,46.32916666666667,50.685,52.07195652173913
2015-01-22,28.214166666666667,42.58090909090909,23.852083333333336,30.161666666666665,31.20220643939394
2015-01-23,43.31708333333333,49.32521739130435,47.26208333333333,38.29708333333333,44.55036684782608
2015-01-24,40.67541666666667,44.45916666666667,44.194583333333334,33.27291666666667,40.65052083333334
2015-01-25,46.4075,44.567499999999995,47.41958333333333,41.1,44.87364583333333
2015-01-26,33.26583333333333,35.07541666666666,45.57565217391304,28.21375,35.53266304347826
2015-01-27,47.05291666666667,38.6475,50.61,34.0875,42.59947916666667
2015-01-28,32.39666666666667,34.181666666666665,33.40833333333333,27.751666666666665,31.934583333333332
2015-01-29,38.475,38.692083333333336,39.125,27.617083333333337,35.977291666666666
2015-01-30,48.85791666666666,47.01916666666667,58.52375,38.60958333333333,48.25260416666667
2015-01-31,49.379999999999995,51.78,56.25416666666666,36.989583333333336,48.6009375
2015-02-01,33.47625,37.035000000000004,39.81458333333333,27.382500000000004,34.427083333333336
2015-02-02,47.48541666666667,40.91166666666667,48.517500000000005,31.82875,42.185833333333335
